filename,skin_type,acne,pimples,pigmentation,wrinkles,dark_circles
dry_skin_selfie/dry_skin_selfie_00003_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00005_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00006_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00007_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00010_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00012_face_1.png,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00014_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00016_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00016_face_2.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00017_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00019_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00020_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00021_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00021_face_2.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00022_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00022_face_2.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00023_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00023_face_2.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00024_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00027_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00029_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00030_face_1.png,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00031_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00034_face_1.jpg,4,0,0,0,0,0
dry_skin_selfie/dry_skin_selfie_00034_face_2.jpg,4,0,0,0,0,0
